assemblages;jar;run;day;file_name;TA;dTA;swd;temp;sal;;;
Pve-B3 | Mdi-D3 | Pru-A3;jar3;run2;day13;Alkalinity_preT7_5[1]_07_08_19-11_47_46.csv;2,50271757;0,06009807358402;1062,921789;26,30666667;35,6;;;
Pda-A2 | Amu-D2 | Plo-B2;jar4;run2;day13;Alkalinity_preT7_5[1]_07_08_19-11_54_44.csv;2,54165411;0,02116153383830;1062,921789;26,30666667;35,6;;;
Pda-B2 | Amu-B2 | Plo-C2;jar5;run2;day13;Alkalinity_preT7_5[1]_07_08_19-12_02_24.csv;2,524266356;0,03854928748268;1062,921789;26,30666667;35,6;;;
Pda-D2 | Amu-A2 | Plo-D2;jar6;run2;day13;Alkalinity_preT7_5[1]_07_08_19-12_08_28.csv;2,532652968;0,03016267551542;1062,921789;26,30666667;35,6;;;
Spi-A2 | Acy-B3 | Pcy-B2;jar7;run2;day13;Alkalinity_preT7_5[1]_07_08_19-12_18_19.csv;2,526167306;0,03664833727440;1062,921789;26,30666667;35,6;;;
Spi-B2 | Acy-D2 | Pcy-C3;jar8;run2;day13;Alkalinity_preT7_5[1]_07_08_19-12_25_10.csv;2,523453357;0,03936228696721;1062,921789;26,30666667;35,6;;;
Spi-D2 | Acy-A2 | Pcy-A2;jar9;run2;day13;Alkalinity_preT7_5[1]_07_08_19-12_31_28.csv;2,522713799;0,04010184504929;1062,921789;26,30666667;35,6;;;
control;jar10;run2;day13;Alkalinity_preT7_5[1]_07_08_19-12_37_40.csv;2,562815644;;1062,921789;26,30666667;35,6;;;
Pve-F4 | Mdi-C4 | Pru-D4;jar1;run3;day13;Alkalinity_preT7_5[1]_07_08_19-13_28_32.csv;2,465363488;0,07126916295428;1062,921789;26,30666667;35,6;;;
Pve-A4 | Mdi-A4 | Pru-E4;jar2;run3;day13;Alkalinity_preT7_5[1]_07_08_19-13_40_09.csv;2,45034726;0,08628539075861;1062,921789;26,30666667;35,6;;;
Pve-B4 | Mdi-D4 | Pru-A4;jar3;run3;day13;Alkalinity_preT7_5[1]_07_08_19-13_48_11.csv;2,454902616;0,08173003534095;1062,921789;26,30666667;35,6;;;
Pda-A4 | Amu-D3 | Plo-B3;jar4;run3;day13;Alkalinity_preT7_5[1]_07_08_19-13_54_39.csv;2,520214929;0,01641772188133;1062,921789;26,30666667;35,6;;;
Pda-B4 | Amu-B4 | Plo-C3;jar5;run3;day13;Alkalinity_preT7_5[1]_07_08_19-14_01_54.csv;2,504637088;0,03199556320553;1062,921789;26,30666667;35,6;;;
Pda-D4 | Amu-A3 | Plo-D3;jar6;run3;day13;Alkalinity_preT7_5[1]_07_08_19-14_08_42.csv;2,522793907;0,01383874404781;1062,921789;26,30666667;35,6;;;
Spi-A4 | Acy-B4 | Pcy-B4;jar7;run3;day13;Alkalinity_preT7_5[1]_07_08_19-14_15_32.csv;2,493150403;0,04348224762733;1062,921789;26,30666667;35,6;;;
Spi-B3 | Acy-D3 | Pcy-C4;jar8;run3;day13;Alkalinity_preT7_5[1]_07_08_19-14_22_07.csv;2,534519441;0,00211321053795;1062,921789;26,30666667;35,6;;;
Spi-D4 | Acy-A3 | Pcy-A4;jar9;run3;day13;Alkalinity_preT7_5[1]_07_08_19-14_28_09.csv;2,499919009;0,03671364183930;1062,921789;26,30666667;35,6;;;
control;jar10;run3;day13;Alkalinity_preT7_5[1]_07_08_19-14_37_24.csv;2,536632651;;1062,921789;26,30666667;35,6;;;
