"","date","day","run","fragment_ID","genus","family","jar","salinity","net_photo_ug_h","respiration_ug_h","gross_photo_ug_h","O2_start_L","O2_end_L","O2_start_D","O2_end_D","sum_surface_cm2","sum_volume_cm3","net_photo_h_surface","respiration_h_surface","gross_photo_h_surface","category","species"
"57",2019-07-24,"3","1","SpiD1","Stylophora","Pocilloporidae",3,"34.4",834.9779,570.0915,1405.0694,6.95,7.42,7.45,7.02,24.7064,4033.11,33.7960164167989,23.0746486740278,56.8706650908267,"single","Spi"
"58",2019-07-24,"3","1","MdiC1","Montipora","Acroporidae",4,"34.4",862.8105,420.0375,1282.848,6.94,7.44,7.41,7.06,24.5403,3275.81,35.158922262564,17.1162332978814,52.2751555604455,"single","Mdi"
"59",2019-07-24,"3","1","MdiA1","Montipora","Acroporidae",5,"34.4",854.3397,382.524,1236.8637,6.94,7.42,7.44,7.11,27.9491,3894.93,30.5676998543781,13.6864514420858,44.2541512964639,"single","Mdi"
"60",2019-07-24,"3","1","MdiD1","Montipora","Acroporidae",6,"34.4",1067.3196,513.8213,1581.1409,6.92,7.51,7.46,7.06,33.7694,3358.81,31.6061167802804,15.2155886690317,46.8217054493121,"single","Mdi"
"61",2019-07-24,"3","1","PruD1","Porites","Poritidae",7,"34.4",602.6362,326.2538,928.89,6.91,7.26,7.27,6.97,14.9676,4196.06,40.2627141291857,21.7973355781822,62.0600497073679,"single","Pru"
"62",2019-07-24,"3","1","PruE2","Porites","Poritidae",8,"34.4",312.2091,194.9565,507.1656,6.91,7.11,7.12,6.89,17.0074,4773.74,18.3572503733669,11.4630396180486,29.8202899914155,"single","Pru"
"63",2019-07-24,"3","1","PruA1","Porites","Poritidae",9,"34.4",254.1237,109.1302,363.2539,6.93,7.1,7.02,6.83,21.6076,7024.71,11.7608480349507,5.05054702974879,16.8113950646995,"single","Pru"
"64",2019-07-24,"3","2","SpiA2","Stylophora","Pocilloporidae",1,"34.4",903.9617,596.5783,1500.54,6.95,7.42,7.57,7.19,27.2464,4425.26,33.1772894767749,21.8956742909155,55.0729637676904,"single","Spi"
"65",2019-07-24,"3","2","SpiB2","Stylophora","Pocilloporidae",2,"34.4",1009.1608,792.899,1802.0598,7.02,7.56,7.69,7.18,43.7361,7491.94,23.0738634674788,18.1291656091878,41.2030290766667,"single","Spi"
"66",2019-07-24,"3","2","SpiD2","Stylophora","Pocilloporidae",3,"34.4",995.2445,886.6827,1881.9272,7.02,7.57,7.8,7.24,27.2023,5102.41,36.5867775886598,32.5958724078479,69.1826499965076,"single","Spi"
"67",2019-07-24,"3","2","MdiC3","Montipora","Acroporidae",4,"34.4",1089.0283,661.6017,1750.63,7,7.6,7.7,7.26,28.9036,4363.37,37.6779466917616,22.8899410454061,60.5678877371677,"single","Mdi"
"68",2019-07-24,"3","2","MdiA3","Montipora","Acroporidae",5,"34.4",976.4878,361.4937,1337.9815,7.01,7.55,7.48,7.2,26.013,3762.38,37.5384538499981,13.8966555183946,51.4351093683927,"single","Mdi"
