"","Filename","jar","run","day","S","TA_mmolL","fragment_ID"
"177","Alkalinity_preT7_5_07_08_19_14_22_07","8","3","13",35.6,2.58168826231531,"SpiB3_AcyD3_PcyC4"
"178","Alkalinity_preT7_5_07_08_19_14_28_09","9","3","13",35.6,2.56224231405479,"SpiD4_AcyA3_PcyA4"
"179","Alkalinity_preT7_5_07_08_19_14_37_24","10","3","13",35.6,2.58450098388871,"control"
"180","Alkalinity_preT7_5_08_08_19_09_21_27","1","1","14",35.6,2.52462687693054,"PveF1_PveA2_PveB4"
"181","Alkalinity_preT7_5_08_08_19_09_30_24","2","1","14",35.6,2.5918380237274,"PdaA1_PdaB2_PdaD4"
"182","Alkalinity_preT7_5_08_08_19_09_42_00","3","1","14",35.6,2.51953016865434,"SpiA1_SpiB2_SpiD4"
"183","Alkalinity_preT7_5_08_08_19_09_48_38","4","1","14",35.6,2.60226910254112,"AmuD1_AmuB2_AmuA3"
"184","Alkalinity_preT7_5_08_08_19_09_55_41","5","1","14",35.6,2.63280946678013,"AcyB1_AcyD2_AcyA3"
"185","Alkalinity_preT7_5_08_08_19_10_03_06","6","1","14",35.6,2.54411530427228,"MdiC1_MdiA3_MdiD4"
"186","Alkalinity_preT7_5_08_08_19_10_09_51","7","1","14",35.6,2.59842747546102,"PloB1_PloC2_PloD3"
"187","Alkalinity_preT7_5_08_08_19_10_16_18","8","1","14",35.6,2.59658169756853,"PcyB1_PcyC3_PcyA4"
"188","Alkalinity_preT7_5_08_08_19_10_23_30","9","1","14",35.6,2.61309367505098,"PruD1_PruE3_PruA4"
"189","Alkalinity_preT7_5_08_08_19_10_31_02","10","1","14",35.6,2.62394914670701,"control"
"190","Alkalinity_preT7_5_08_08_19_11_32_28","1","2","14",35.6,2.49362480276576,"PveF3_PveA4_PveB1"
"191","Alkalinity_preT7_5_08_08_19_11_39_28","2","2","14",35.6,2.59032986490477,"PdaA2_PdaB4_PdaD1"
"192","Alkalinity_preT7_5_08_08_19_11_48_38","3","2","14",35.6,2.5148304449941,"SpiA2_SpiB3_SpiD1"
"193","Alkalinity_preT7_5_08_08_19_11_55_17","4","2","14",35.6,2.59734375607307,"AmuD2_AmuB4_AmuA1"
"194","Alkalinity_preT7_5_08_08_19_12_01_32","5","2","14",35.6,2.62152593632168,"AcyB3_AcyD3_AcyA1"
"195","Alkalinity_preT7_5_08_08_19_12_08_03","6","2","14",35.6,2.55455231851085,"MdiC3_MdiA4_MdiD1"
"196","Alkalinity_preT7_5_08_08_19_12_14_15","7","2","14",35.6,2.59557361536603,"PloB2_PloC3_PloD1"
"197","Alkalinity_preT7_5_08_08_19_12_20_29","8","2","14",35.6,2.59506483142041,"PcyB2_PcyC4_PcyA1"
"198","Alkalinity_preT7_5_08_08_19_12_26_56","9","2","14",35.6,2.59441226256282,"PruD3_PruE4_PruA1"
"199","Alkalinity_preT7_5_08_08_19_12_33_34","10","2","14",35.6,2.62382765575589,"control"
"200","Alkalinity_preT7_5_08_08_19_13_24_30","1","3","14",35.6,2.47632995396339,"PveF4_PveA1_PveB3"
"201","Alkalinity_preT7_5_08_08_19_13_32_08","2","3","14",35.6,2.57035045087227,"PdaA4_PdaB1_PdaD2"
"202","Alkalinity_preT7_5_08_08_19_13_40_31","3","3","14",35.6,2.46819835434569,"SpiA4_SpiB1_SpiD2"
"203","Alkalinity_preT7_5_08_08_19_13_48_23","4","3","14",35.6,2.60175098665019,"AmuD3_AmuB1_AmuA2"
"204","Alkalinity_preT7_5_08_08_19_13_54_19","5","3","14",35.6,2.60822240615332,"AcyB4_AcyD1_AcyA2"
"205","Alkalinity_preT7_5_08_08_19_14_01_13","6","3","14",35.6,2.54504726753797,"MdiC4_MdiA1_MdiD3"
"206","Alkalinity_preT7_5_08_08_19_14_07_18","7","3","14",35.6,2.57256274497825,"PloB3_PloC1_PloD2"
"207","Alkalinity_preT7_5_08_08_19_14_14_43","8","3","14",35.6,2.56649934326485,"PcyB4_PcyC1_PcyA2"
"208","Alkalinity_preT7_5_08_08_19_14_21_12","9","3","14",35.6,2.60114035888297,"PruD4_PruE2_PruA3"
"209","Alkalinity_preT7_5_08_08_19_14_27_34","10","3","14",35.6,2.60803365504036,"control"
"210","Alkalinity_preT7_5_09_08_19_09_25_01","1","1","15",35.6,2.59949348169942,"PveF4"
"211","Alkalinity_preT7_5_09_08_19_09_39_02","2","1","15",35.6,2.57986007557094,"PveA4"
"212","Alkalinity_preT7_5_09_08_19_09_46_15","3","1","15",35.6,2.59354561047808,"PveB4"
"213","Alkalinity_preT7_5_09_08_19_09_53_38","4","1","15",35.6,2.62774824013287,"AmuD3"
"214","Alkalinity_preT7_5_09_08_19_10_01_01","5","1","15",35.6,2.62373892860645,"AmuB4"
"215","Alkalinity_preT7_5_09_08_19_10_13_24","6","1","15",35.6,2.61520088086599,"AmuA3"
"216","Alkalinity_preT7_5_09_08_19_10_19_38","7","1","15",35.6,2.61323273999906,"PloB3"
"217","Alkalinity_preT7_5_09_08_19_10_26_28","8","1","15",35.6,2.62334076218279,"PloC3"
"218","Alkalinity_preT7_5_09_08_19_10_32_58","9","1","15",35.6,2.6251007672809,"PloD3"
"219","Alkalinity_preT7_5_09_08_19_10_41_11","10","1","15",35.6,2.62290824102721,"control"
"220","Alkalinity_preT7_5_09_08_19_11_21_22","1","2","15",35.6,2.58301685319221,"PveF1"
"221","Alkalinity_preT7_5_09_08_19_11_32_58","2","2","15",35.6,2.57366850205657,"PveA1"
"222","Alkalinity_preT7_5_09_08_19_11_40_58","3","2","15",35.6,2.57963025800407,"PveB1"
"223","Alkalinity_preT7_5_09_08_19_11_47_32","4","2","15",35.6,2.62317089649895,"AmuD1"
"224","Alkalinity_preT7_5_09_08_19_11_53_51","5","2","15",35.6,2.61311605994631,"AmuB1"
